05	@} f Ae v
EUROPE	j }: r @ p
EUROPE'S	j }: r @ p s
EUROPEWIDE	j }: r @ p w 6: I d
EUROPHILE	j }: r @} f 6: I l
EUROPHILES	j }: r @} f Ae l z
EUROPIUM	j }: r @} p i: @ m
EUROSID	j o: @ s @ d
EURO’S	j }: r s
EURO'S	j }: r @} z
EUROS	j }: r @} z
EUROSTAR	j }: r @ s t 6:
EUROSTAT	j o: O s t { t
EUROSTERLING	j o: @} s t 3: l I N
EUROTUNNEL	j }: r @} t @ n @ l
EUROTUNNEL'S	j }: r @} t @ n l z
EUROYEN	j o: U j e n
EURY	j }: r i:
EUSEBIO	j }: z i: b i: @}
EUSTACE	j }: s t @ s
EUSTACHIAN	j }: z t {I k i: @ n
EUSTACIA	j }: s t O tS @
EUSTICE	j }: s t @ s
EUSTIS	j }: s t @ s
EUTHANASIA	j }: T @ n {I Z @
EUTHANASIA'S	j }: T @ n {I Z @ z
EUTHANIZE	j }: T @ n Ae z
EUTSEY	j }: t s i:
EUTSLER	j }: t s l @
EVACUATED	@ v { k j }: {I t @ d
EVACUATE	@ v { k j }: {I t
EVACUATING	@ v { k j }: {I t I N
EVACUATIONS	@ v { k j }: {I S n z
EVACUATION	@ v { k j }: {I S n
EVACUEES	@ v { k j @ i: z
EVACUEE	@ v { k j }: i:
EVADED	@ v {I d @ d
EVADERS	@ v {I d @ z
EVADER	@ v {I d @
EVADES	@ v {I d z
EVADE	@ v {I d
EVADING	@ v {I d I N
EVADNE	@ v e d n i:
EVA	i: v @
EVA	{I v @
EVALD	e v l d
EVALD	@ v O l d
EVALEEN	e v @ l i: n
EVALUATED	@ v { l j }: {I t @ d
EVALUATES	@ v { l j }: {I t s
EVALUATE	@ v { l j }: {I t
EVALUATING	@ v { l j }: {I t I N
EVALUATIONS	@ v { l j }: {I S n z
EVALUATION	@ v { l j }: {I S n
EVANCHO	e v O n k @}
EVANDER	i: v { n d @
EVANDRO	e v 6: d r @}
EVANDRO	@ v { d r @}
EVANESCENCE	e v @ n e s @ n s
EVANESCENT	e v @ n e s @ n t
EVAN	e v @ n
EVANGELICAL	i: v { n dZ e l I k l
EVANGELICALS	i: v { n dZ e l I k l z
EVANGELINE	@ v { n dZ @ l 6: I n
EVANGELISM	i: v { n dZ @ l I z @ m
EVANGELISM	@ v { n dZ @ l I z @ m
EVANGELISTA	e v O N g e l i: s t @
EVANGELISTIC	i: v { n dZ @ l I s t I k
EVANGELIST	i: v { n dZ @ l @ s t
EVANGELISTS	i: v { n dZ @ l I s t s
EVANGELISTS	i: v { n dZ @ l @ s
EVANGELISTS	@ v { n dZ @ l I s t s
EVANGELISTS	@ v { n dZ @ l @ s
EVANGELIST	@ v { n dZ @ l @ s t
EVANGELIZE	i: v { n dZ }: l @ z
EVANGELIZE	@ v { n dZ }: l @ z
EVANGI	@ v { n dZ i:
EVANKO	@ v { N k @}
EVANOFF	e v @ n O f
EVANOV	e v n @} v
EVANS	e v n z
EVANS'	e v n z
EVANSON	e v @ n s n
EVANS'S	e v n z @ z
EVANSTON	e v @ n s t @ n
EVANSVILLE	e v n z v @ l
EVAPORATED	@ v { p @ r {I t @ d
EVAPORATES	@ v { p @ r {I t s
EVAPORATE	@ v { p @ r {I t
EVAPORATING	@ v { p @ r {I t I N
EVAPORATION	@ v { p @ r {I S @ n
EVAPORATOR	@ v { p @ r {I t @
EVARTS	e v @ t s
EVASIONS	@ v {I Z n z
EVASION	@ v {I Z n
EVASIVE	@ v {I z I v
EVA'S	i: v @ z
EVA'S	{I v @ z
EVATT	e v @ t
EVE	i: v
EVE-	i: v
EVELAND	i: v l @ n d
EVELETH	e v @ l I T
EVEL	e v @ l
EVELINA	e v e l i: n @
EVELINE	e v @ l @ n
EVELYN	e v @ l @ n
EVENDALE	e v @ n d {I l
EVENED	i: v @ n d
EVENHANDED	i: v @ n h { n d @ d
EVENHANDEDLY	e v @ n h { n d @ d l i:
EVENINGCLASS	i: v n I N k l 6: s
EVENINGDRESS	i: v n I N d r e s
EVENING	i: v n I N
EVENING'S	i: v n I N z
EVENINGS	i: v n I N z
EVEN	i: v @ n
EVEN	i: v n
EVEN-	i: v n
EVENLY	i: v n l i:
EVENNESS	i: v n n @ s
EVENSEN	e v @ n s n
EVENS	i: v n z
EVENSKY	@ v e n s k i:
EVENSON	e v @ n s n
EVENTFUL	@ v e n t f U l
EVENT'S	@ v e n t s
EVENTS	@ v e n t s
EVENTUALITY	@ v e n tS }: { l @ t i:
EVENTUALLY	@ v e n tS @ l i:
EVENTUALLY	@ v e n tS }: @ l i:
EVENTUAL	@ v e n tS }: @ l
EVENT	@ v e n t
EVERAGE	e v r I dZ
EVERARD	e v r @ d
EVERBACH	e v @ b O k
EVERDING	e v 3: d I N
EVEREADY	e v @ r e d i:
EVERED	e v @ d
EVEREST	e v r @ s t
EVEREST'S	e v r @ s t s
EVERETTE	e v @ r e t
EVERETT	e v r @ t
EVERETTS	e v r @ t s
EVER	e v @
EVER-	e v @
EVEREX	e v r @ k s
EVERGLADES	e v @ g l {I d z
EVERGLADES'	e v @ g l {I d z
EVERGOOD	e v @ g U d
EVERGREEN	e v @ g r i: n
EVERGREENS	e v @ g r i: n z
EVERHARDT	e v @ h 6: t
EVERHART	e v @ h 6: t
EVERIDGE	e v r I dZ
EVERINGHAM	e v r I N @ m
EVERINGTON	e v r I N t @ n
EVERITT	e v @ r @ t
EVERLAST	e v @ l 6: s t
EVERLASTING	e v @ l { s t I N
EVERLASTINGS	e v @ l { s t I N z
EVERLEY	e v @ l i:
EVERLING	e v @ l I N
EVERLY	e v @ l i:
EVERMAN	e v @ m @ n
EVERMORE	e v @ m o:
EVERS	e v @ z
EVERS'	e v @ z
EVERSMAN	e v @ s m @ n
EVERSOLE	e v @ s @} l
EVERSON	e v @ s n
EVERTON	e v 3: t @ n
EVERTS	e v @ t s
EVERT	@ v 3: t
EVERYBODY'D	e v r @ b O d i: d
EVERYBODY	e v r @ b O d i:
EVERYBODY	e v r i: b O d i:
EVERYBODY'S	e v r @ b O d i: z
EVERYDAY	e v r i: d {I
EVERY	e v r i:
EVERY-	e v r i:
EVERYMAN	e v r i: m @ n
EVERYMAN'S	e v r i: m @ n z
EVERYONE	e v r i: w 6 n
EVERYONE-	e v r i: w 6 n
EVERYONE'S	e v r i: w 6 n z
EVERYONE'S-	e v r i: w 6 n z
EVERYONE’S	e v r i: w 6 s
EVERYONE’S-	e v r i: w 6 s
EVERYON	e v r i: O n
EVERYPLACE	e v r i: p l {I s
EVERYTHING	e v r i: T I N
EVERYTHING	e v r I T I N
EVERYTHING-	e v r I T I N
EVERYTHING’S	e v r I T I N s
EVERYTHING'S	e v r I T I N z
EVERYTHING'S-	e v r I T I N z
EVERYTHINGS	e v r I T I N z
EVERYTHING	v r I T I N
EVERYTIME	e v r I t Ae m
EVERYWHERE	e v r i: w e
EVERYWHERE	e v r i: w e:
EVERYWHERE-	e v r i: w e
EVES	i: v z
EVETT	e v @ t
EVETTS	e v @ t s
EV	e v
EV-	e v
EVEYONE-	e v {I n
EVIAN	e v i: @ n
EVICTED	@ v I k t @ d
EVICTING	@ v I k t I N
EVICTIONS	@ v I k S n z
EVICTION	@ v I k S @ n
EVICT	@ v I k t
EVIDENCED	e v @ d @ n s t
EVIDENCE	e v @ d @ n s
EVIDENCES	e v @ d @ n s @ z
EVIDENT	e v @ d @ n t
EVIDENT	e v @ d n t
EVIDENTIARY	e v @ d e n S @ r i:
EVIDENTIARY	e v @ d e n tS @ r i:
EVIDENTLY	e v @ d n t l i:
EVILDOER	i: v l d j }: @
EVILDOERS	i: v l d j }: @ z
EVIL	i: v @ l
EVIL	i: v l
EVILS	i: v l z
EVILSIZER	i: v l s Ae z @
EVILSIZOR	i: v l s Ae z @
EVINCED	@ v I n s t
EVINCE	@ v I n s
EVIN	e v n
EVINGER	i: v I N @
EVINS	e v @ n z
EVISCERATED	@ v I z @ r {I t @ d
EVISCERATE	@ v I z @ r {I t
EVITA	e v i: t @
EVITT	e v @ t
EVITTS	e v @ t s
EVJEN	e v dZ @ n
EVLYN	e v @ l @ n
EVOCATION	e v @ k {I S @ n
EVOCATIVE	@ v O k @ t I v
EVOKED	@ v @} k t
EVOKES	@ v @} k s
EVOKE	@ v @} k
EVOKING	@ v @} k I N
EVOLA	e v @ l @
EVOLUTIONARY	e v @ l }: S @ n r i:
EVOLUTION	e v @ l }: S @ n
EVOLVED	@ v O l v d
EVOLVES	@ v O l v z
EVOLVE	@ v O l v
EVOLVING	@ v O l v I N
EVON	e v @ n
EVONNE	e v O n
EVRARD	e v r @ d
EVREN	e v r @ n
EWALD	j }: @ l d
EWALT	j }: @ l t
EWAN	j }: @ n
EWART	j }: @ t
EWBAL	j }: b O l
EWBANK	j }: b 6 N k
EWE	j }:
EWELL	j }: @ l
EWEN	j }: @ n
EWER	j }: @
EWERS	j }: @ z
EWERT	j }: @ t
EWES	j }: z
EWIG	j }: I g
EWING	j }: I N
EWING'S	j }: I N z
EWINGS	j }: I N z
EW	j }:
EWOLDT	j }: @} l t
EWONG	j }: O N
EWORLD	i: w 3: l d
EWTON	j }: t @ n
EWW	j }:
EWY	j }: i:
EXABYTE	e k s @ b 6: I t
EXACERBATED	@ g z { s @ b {I t @ d
EXACERBATE	@ g z { s @ b {I t
EXACERBATES	@ g z { s @ b {I t s
EXACERBATING	@ g z { s @ b {I t I N
EXACERBATION	@ g z { s @ b {I S @ n
EXACERBATIONS	@ g z { s @ b {I S n z
EXAC-	@ g z { k
EXACLTY	@ g { k 6 t i:
EXACTED	@ g z { k t @ d
EXACT	@ g z { k t
EXACT-	@ g z { k t
EXACTING	@ g z { k t I N
EXACTION	@ g z { k S n
EXACTIONS	@ g z { k S n z
EXACTITUDE	@ g z { k t @ tS }: d
EXACTLY	e g z { k t l i:
EXACTLY	@ g z { k t l i:
EXACTLY-	@ g z { k t l i:
EXACTLY'S	@ g z { k t l i: z
EXACTS	@ g z { k t s
EXAGGERATED	@ g z { dZ @ r {I t @ d
EXAGGERATE	@ g z { dZ @ r {I t
EXAGGERATES	@ g z { dZ @ r {I t s
EXAGGERATING	@ g z { dZ @ r {I t I N
EXAGGERATION	@ g z { dZ @ r {I S @ n
EXAGGERATIONS	@ g z { dZ @ r {I S n z
EXA-	i: k @
EXALTED	@ g z o: l t @ d
EXALT	@ g z o: l t
EXALTING	@ g z o: l t I N
EXALTS	@ g z o: l t s
EXAM	@ g z { m
EXAM-	@ g z { m
EXAMINATION	@ g z { m @ n {I S @ n
EXAMINATIONS	@ g z { m @ n {I S n z
EXAMINED	@ g z { m @ n d
EXAMINE	@ g z { m @ n
EXAMINER	@ g z { m @ n @
EXAMINER'S	e g z { m @ n @ z
EXAMINERS	@ g z { m @ n @ z
EXAMINERS'	@ g z { m @ n @ z
EXAMINES	@ g z { m @ n z
EXAMINING	@ g z { m @ n I N
EXAMPLE	@ g z { m p @ l
EXAMPLE	@ g z { m p l
EXAMPLE-	@ g z { m p l
EXAMPLES	@ g z { m p l z
EXAM’S	@ g z { m s
EXAM'S	@ g z { m z
EXAMS	@ g z { m z
EXAMS-	@ g z { m z
EXAR	e k s @
EXASPERATED	@ g z { s p @ r {I t @ d
EXASPERATE	@ g z { s p @ r {I t
EXASPERATING	@ g z { s p @ r {I t I N
EXASPERATION	e k s { s p @ r {I S @ n
EX-BOYFRIEND	e k s b oI f r e n d
EXBOYFRIEND	e k s b oI f r e n d
EX-BOYFRIENDS	e k s b oI f r e n d z
EXBROKER	@ k s b r @} k @
EXBROKER'S	@ k s b r @} k @ z
EXBROKERS	@ k s b r @} k @ z
EXCALIBUR	e k s k O l @ b @
EXCAVATED	e k s k @ v {I t @ d
EXCAVATE	e k s k @ v {I t
EXCAVATING	e k s k @ v {I t I N
EXCAVATION	e k s k @ v {I S n
EXCAVATIONS	e k s k @ v {I S n z
EXCAVATOR	e k s k @ v {I t @
EXCAVATORS	e k s k @ v {I t @ z
EXCEDRIN	e k s e d r @ n
EXCEEDED	@ k s i: d @ d
EXCEEDING	@ k s i: d I N
EXCEEDINGLY	@ k s i: d I N l i:
EXCEED	@ k s i: d
EXCEEDS	@ k s i: d z
EXC-	e k s k
EXCELAN	e k s e l @ n
EXCEL	@ k s e l
EXCELLED	@ k s e l d
EXCELLENCE	e k s @ l @ n s
EXCELLENCIES	e k s l e n s i: z
EXCELLENCY	e k s l e n s i:
EXCELLENT	e k s @ l @ n t
EXCELLENTLY	e k s @ l @ n t l i:
EXCELLING	e k s e l I N
EXCELSIOR	@ k s e l s i: @
EXCEL'S	@ k s e l z
EXCELS	@ k s e l z
EXCEPTED	@ k s e p t @ d
EXCEPTING	e k s e p t I N
EXCEPTIONAL	@ k s e p S @ n @ l
EXCEPTIONALLY	@ k s e p S @ n @ l i:
EXCEPTIONALLY	@ k s e p S n @ l i:
EXCEPTION	@ k s e p S @ n
EXCEPTIONS	@ k s e p S n z
EXCEPT	@ k s e p t
EXCEPT-	@ k s e p t
EXCERPTED	e k s @ p t @ d
EXCERPT	e k s @ p t
EXCERPTS	e k s @ p t s
EXCESS	e k s e s
EXCESSES	e k s e s @ z
EXCESSES	@ k s e s @ z
EXCESSIVE	@ k s e s I v
EXCESSIVELY	@ k s e s @ v l i:
EXCESS	@ k s e s
EXCHANGEABLE	@ k s tS {I n dZ @ b @ l
EXCHANGED	@ k s tS {I n dZ d
EXCHANGE	@ k s tS {I n dZ
EXCHANGER	@ k s tS {I n dZ @
EXCHANGERS	@ k s tS {I n dZ @ z
EXCHANGES'	e k s tS {I n dZ @ z
EXCHANGE'S	@ k s tS {I n dZ @ z
EXCHANGES	@ k s tS {I n dZ @ z
EXCHANGING	@ k s tS {I n dZ I N
EXCHEQUER	e k s tS e k @
EXCIMER	e k s I m @
EXCISED	e k s Ae z d
EXCISE	e k s 6: I s
EXCISE	e k s 6: I z
EXCISES	e k s Ae z @ z
EXCISION	@ k s I Z @ n
EXCITABLE	@ k s 6: I t @ b @ l
EXCITATION	e k s Ae t {I S @ n
EXCITED	@ k s 6: I t @ d
EXCITED	@ k s Ae t @ d
EXCITEDLY	@ k s 6: I t @ d l i:
EXCITE	@ k s 6: I t
EXCITEMENT	@ k s 6: I t m @ n t
EXCITES	@ k s Ae t s
EXCITING	@ k s 6: I t I N
EXCITING	@ k s Ae t I N
EXCITING-	@ k s Ae t I N
EXCLAIMED	@ k s k l {I m d
EXCLAIMING	@ k s k l {I m I N
EXCLAIM	@ k s k l {I m
EXCLAIMS	@ k s k l {I m z
EXCLAMATION	e k s k l @ m {I S @ n
EXCLAMATION-POINT	e k s k l @ m {I S @ n p oI n t
EXCLAMATIONS	e k s k l @ m {I S n z
EXCLUDABLE	@ k s k l }: d @ b @ l
EXCLUDED	@ k s k l }: d @ d
EXCLUDE	@ k s k l }: d
EXCLUDES	@ k s k l }: d z
EXCLUDING	@ k s k l }: d I N
EXCLUSIONARY	@ k s k l }: Z @ n r i:
EXCLUSION	@ k s k l }: Z @ n
EXCLUSIONS	@ k s k l }: Z n z
EXCLUSIVE	@ k s k l }: s I v
EXCLUSIVE	@ k s k l }: s @ v
EXCLUSIVELY	@ k s k l }: s @ v l i:
EXCLUSIVES	@ k s k l }: s @ v z
EXCLUSIVITY	e k s k l }: s I v @ t i:
EXCOA	e k s k @} @
EXCO	e k s k @}
EXCOMMUNICATED	e k s k @ m j }: n @ k {I t @ d
EXCOMMUNICATE	e k s k @ m j }: n @ k {I t
EXCOMMUNICATION	e k s k @ m j }: n @ k {I S n
EXCORIATED	e k s k o: r i: {I t @ d
EXCORIATE	e k s k o: r i: {I t
EXCORIATING	e k s k o: r i: {I t I N
EXCORIATION	e k s k o: r i: {I S @ n
EXCREMENT	e k s k r @ m @ n t
EXCRETED	@ k s k r i: t @ d
EXCRETE	@ k s k r i: t
EXCRETES	@ k s k r i: t z
EXCRETION	@ k s k r i: S @ n
EXCRETORY	e k s k r @ t r i:
EXCRUCIATING	@ k s k r }: S i: {I t I N
EXCRUCIATINGLY	e k s k r }: s i: {I t I N l i:
EXCULPATE	e k s k 6 l p {I t
EXCULPATORY	e k s k 6 l p @ t r i:
EXCURSION	@ k s k 3: S @ n
EXCURSIONS	@ k s k 3: S @ n z
EXCUSABLE	@ k s k j }: z @ b @ l
EXCUSED	@ k s k j }: s t
EXCUSE	I k s k j }: s
EXCUSE	@ k s k j }: s
EXCUSES	@ k s k j }: s @ z
EXCUSING	@ k s k j }: z I N
EXEC	e g z e k
EXECRABLE	e g z e k r @ b @ l
EXECS	e g z e k s
EXECUTED	e k s @ k j }: t @ d
EXECUTE	e k s @ k j }: t
EXECUTES	e k s @ k j }: t s
EXECUTING	e k s @ k j }: t I N
EXECUTION	e k s @ k j }: S n
EXECUTIONER	e k s @ k j }: S n @
EXECUTIONER'S	e k s @ k j }: S n @ z
EXECUTIONERS	e k s @ k j }: S n @ z
EXECUTIONS	e k s @ k j }: S n z
EXECUTIVE	@ g z e k j @ t I v
EXECUTIVE'S	e g z e k j @ t @ v z
EXECUTIVES'	e g z e k j @ t @ v z
EXECUTIVES	@ g z e k j @ t @ v z
EXECUTONE	e g z e k j }: t @} n
EXECUTOR	@ g z e k j @ t @
EXECUTORS	@ g z e k j @ t @ z
EX	e k s
EX-	e k s
EX- 	e k s
EXEL	e k s @ l
EXEMPLAR	@ g z e m p l 6:
EXEMPLARS	@ g z e m p l 6: z
EXEMPLARY	@ g z e m p l @ r i:
EXEMPLIFIED	@ g z e m p l @ f Ae d
EXEMPLIFIES	@ g z e m p l @ f Ae z
EXEMPLIFY	@ g z e m p l @ f 6: I
EXEMPLIFYING	@ g z e m p l @ f Ae I N
EXEMPLUM	@ g z e m p l @ m
EXEMPTED	@ g z e m p t @ d
EXEMPT	@ g z e m p t
EXEMPTING	@ g z e m p t I N
EXEMPTION	@ g z e m p S n
EXEMPTIONS	@ g z e m p S n z
EXEMPTS	@ g z e m p t s
EXERCI-	e k s i:
EXERCISABLE	e k s @ s 6: I z @ b @ l
EXERCISED	e k s @ s Ae z d
EXERCISE	e k s @ s 6: I z
EXERCISE	e k s @ s Ae z
EXERCISE-	e k s @ s Ae z
EXERCISER	e k s @ s Ae z @
EXERCISERS	e k s @ s Ae z @ z
EXERCISES	e k s @ s Ae z @ z
EXERCISING	e k s @ s Ae z I N
EXERTED	@ g z 3: t @ d
EXERT	@ g z 3: t
EXERTING	@ g z 3: t I N
EXERTION	@ g z 3: S n
EXERTIONS	@ g z 3: S n z
EXERTS	@ g z 3: t s
EXES	e k s @ z
EXETER	e k s I t @
EX-FIGHTER	e k s f 6: I t @
EXFOLIATE	e k s f @} l i: {I t
EXFOLIATION	e k s f @} l i: {I S @ n
EX-GIRLFRIEND	e g z g 3: l f r e n d
EX-GIRLFRIENDS	e g z g 3: l f r e n d z
EXHALATION	e k s h 6 l {I S @ n
EXHALED	e k s h {I l d
EXHALE	e k s h {I l
EXHAUSTED	@ g z o: s t @ d
EXHAUST	@ g z o: s t
EXHAUSTING	@ g z o: s t I N
EXHAUSTION	@ g z o: s tS @ n
EXHAUSTIVE	@ g z o: s t I v
EXHAUSTIVELY	@ g z O s t I v l i:
EXHAUSTS	@ g z o: s t s
EXHIBITED	@ g z I b @ t @ d
EXHIBIT	@ g z I b @ t
EXHIBITING	@ g z I b @ t I N
EXHIBITION	e k s @ b I S @ n
EXHIBITIONIST	e k s @ b I S @ n i: s t
EXHIBITIONISTS	e k s @ b I S n @ s t s
EXHIBITIONS	e k s @ b I S n z
EXHIBITOR	@ g z I b @ t @
EXHIBITORS	@ g z I b @ t @ z
EXHIBIT'S	@ g z I b @ t s
EXHIBITS	@ g z I b @ t s
EXHILARATED	@ g z I l @ r {I t @ d
EXHILARATE	@ g z I l @ r {I t
EXHILARATING	@ g z I l @ r {I t I N
EXHILARATION	@ g z I l @ r {I S @ n
EXHORTATION	e g z o: t {I S @ n
EXHORTATIONS	e g z o: t {I S n z
EXHORTED	@ g z o: t @ d
EXHORT	@ g z o: t
EXHORTING	@ g z o: t I N
EXHORTS	@ g z o: t s
EXHUMATION	e k s h j }: m {I S @ n
EXHUMED	e k s h j }: m d
EXHUME	e k s h j }: m
EXHUMES	e k s h j }: m z
EX-HUSBAND	e k s h 6 z b @ n d
EX-HUSBANDS	e k s h 6 z b @ n d z
EXIDE	e k s 6: I d
EXIGENCIES	e k s @ dZ @ n s i: z
EXIGENCY	e k s @ dZ @ n s i:
EXIGENT	e k s @ dZ @ n t
EXIGENTS	e k s @ dZ @ n t s
EXILED	e g z 6: I l d
EXILE	e g z 6: I l
EXILES	e g z 6: I l z
EXIM	e k s I m
EXIM'S	e k s I m z
EXISTED	@ g z I s t @ d
EXISTENCE	@ g z I s t n s
EXISTENT	@ g z I s t n t
EXISTENTIAL	@ g z I s t e n S l
EXIST	@ g z I s t
EXISTING	@ g z I s t I N
EXISTS	@ g z I s t s
EXITED	e g z @ t @ d
EXIT	e g z @ t
EXIT	e k s @ t
EXITING	e g z @ t I N
EXITS	e g z @ t s
EXITS	e k s @ t s
EX-KGB	e k s k g b
EXLER	e k s l @
EXLEY	e k s l i:
EXLINE	e k s l 6: I n
EXNER	e k s n @
EXOCET	e k s @} s e t
EXODUS	e k s @ d @ s
EXOGENOUS	e k s @} dZ @ n @ s
EXON	e k s o: n
EXONERATED	@ g z O n @ r {I t @ d
EXONERATE	@ g z O n @ r {I t
EXONERATES	@ g z O n @ r {I t s
EXONERATING	@ g z O n @ r {I t I N
EXONERATION	@ g z O n @ r {I S @ n
EXORBITANT	@ g z o: b I t n t
EXORCISM	e k s @ s I z @ m
EXORCISMS	e k s @ s I z m z
EXORCIST	e k s @ s @ s t
EXORCISTS	e k s @ s I s t s
EXOSKELETON	e k s @} s k e l @ t @ n
EXOTHERMIC	e k s @} T 3: m I k
EXOTIC	@ g z O t I k
EXOTICS	e g z O t I k s
EXOVIR	e k s @} v I@
EXPANDABLE	@ k s p { n d @ b l
EXPANDED	@ k s p { n d @ d
EXPANDING	@ k s p { n d I N
EXPAND	@ k s p { n d
EXPANDS	@ k s p { n d z
EXPANSE	@ k s p { n s
EXPANSES	@ k s p { n s @ z
EXPANSIONARY	@ k s p { n S @ n r i:
EXPANSIONISM	@ k s p { n S @ n I z @ m
EXPANSIONIST	@ k s p { n S @ n @ s t
EXPANSION	@ k s p { n S @ n
EXPANSION'S	@ k s p { n S @ n z
EXPANSION'S	@ k s p { n S n z
EXPANSIONS	@ k s p { n S @ n z
EXPANSIONS	@ k s p { n S n z
EXPANSIVE	@ k s p { n s @ v
EXPATRIATE	e k s p {I t r i: {I t
EXPATRIATE	e k s p {I t r i: @ t
EXPATRIATES	e k s p {I t r i: {I t s
EXPATRIATES	e k s p {I t r i: @ t s
EXPATRIATION	e k s p {I t r i: {I S @ n
EXPECTANCIES	@ k s p e k t @ n s i: z
EXPECTANCY	@ k s p e k t @ n s i:
EXPECTANT	@ k s p e k t @ n t
EXPECTATION	e k s p e k t {I S n
EXPECTATIONS	e k s p e k t {I S n z
EXPECTED	@ k s p e k t @ d
EXPECTING	@ k s p e k t I N
EXPECT	@ k s p e k t
EXPECTORANT	@ k s p e k t @ r @ n t
EXPECTS	@ k s p e k t s
EXPEDIA	e k s p i: d i: @
EXPEDIENCE	@ k s p i: d i: @ n s
EXPEDIENCY	@ k s p i: d i: @ n s i:
EXPEDIENT	@ k s p i: d i: @ n t
EXPEDITED	e k s p @ d Ae t @ d
EXPEDITE	e k s p @ d 6: I t
EXPEDITING	e k s p @ d 6: I t I N
EXPEDITIONARY	e k s p @ d I S @ n r i:
EXPEDITION	e k s p @ d I S @ n
EXPEDITIONS	e k s p @ d I S n z
EXPEDITIOUS	e k s p @ d I S @ s
EXPEDITIOUSLY	e k s p @ d I S @ s l i:
EXPEL	@ k s p e l
EXPELLED	@ k s p e l d
EXPELLING	@ k s p e l I N
EXPENDABLE	@ k s p e n d @ b l
EXPENDABLES	@ k s p e n d @ b l z
EXPENDED	@ k s p e n d @ d
EXPENDING	e k s p e n d I N
EXPENDITURE	e k s p e n d @ tS @
EXPENDITURE	@ k s p e n d @ tS @
EXPENDITURES	@ k s p e n d @ tS @ z
EXPEND	@ k s p e n d
EXPENSE	@ k s p e n s
EXPENSES	@ k s p e n s @ z
EXPENSING	@ k s p e n s I N
EXPENSIVE	@ k s p e n s I v
EXPENSIVE	@ k s p e n s @ v
EXPENSIVE-	@ k s p e n s @ v
EXPENSIVELY	e k s p e n s @ v l i:
EXPERIENCED	@ k s p I r i: @ n s t
EXPERIENCED-	@ k s p I r i: @ n s t
EXPERIENCE	@ k s p I r i: @ n s
EXPERIENCE	@ k s p I@ r i: @ n s
EXPERIENCE-	@ k s p I r i: @ n s
EXPERIENCES	@ k s p I r i: @ n s @ z
EXPERIENCING	@ k s p I r i: @ n s I N
EXPERIENTIAL	e k s p e r i: e n S @ l
EXPERIMENTALIST	@ k s p e r @ m e n t l @ s t
EXPERIMENTAL	@ k s p e r @ m e n t @ l
EXPERIMENTALLY	@ k s p e r @ m e n t l i:
EXPERIMENTATION	@ k s p e r @ m @ n t {I S n
EXPERIMENTED	@ k s p e r @ m @ n t @ d
EXPERIMENTER	@ k s p e r @ m e n t @
EXPERIMENTERS	@ k s p e r @ m e n t @ z
EXPERIMENTING	e k s p e r @ m e n t I N
EXPERIMENT	@ k s p e r @ m @ n t
EXPERIMENT'S	@ k s p e r @ m @ n t s
EXPERIMENTS	@ k s p e r @ m @ n t s
EXPERT	e k s p 3: t
EXPERTISE	e k s p 3: t i: z
EXPERTLY	e k s p 3: t l i:
EXPERT'S	e k s p 3: t s
EXPERTS	e k s p 3: t s
EXPERTS'	e k s p 3: t s
EXPIATE	e k s p i: {I t
EXPIRATION	e k s p @ r {I S @ n
EXPIRATIONS	e k s p @ r {I S n z
EXPIRATORY	@ k s p 6: I r @ t r i:
EXPIRED	@ k s p Ae @ d
EXPIRE	@ k s p 6: I@
EXPIRES	@ k s p Ae @ z
EXPIRING	@ k s p Ae @ r I N
EXPIRY	e k s p 6: I@ r i:
EXPLAINABLE	@ k s p l {I n @ b l
EXPLAINED	@ k s p l {I n d
EXPLAINING	@ k s p l {I n I N
EXPLAIN	@ k s p l {I n
EXPLAINS	@ k s p l {I n z
EXPLANATION	e k s p l @ n {I S n
EXPLANATIONS	e k s p l @ n {I S n z
EXPLANATORY	@ k s p l { n @ t r i:
EXPLETIVE	@ k s p l i: t I v
EXPLETIVES	@ k s p l i: t I v z
EXPLICABLE	@ k s p l I k @ b @ l
EXPLICATE	e k s p l @ k {I t
EXPLICATION	e k s p l @ k {I S n
EXPLICITE	@ k s p l I s @ t
EXPLICIT	@ k s p l I s @ t
EXPLICITLY	@ k s p l I s @ t l i:
EXPLODED	@ k s p l @} d @ d
EXPLODE	@ k s p l @} d
EXPLODES	@ k s p l @} d z
EXPLODING	@ k s p l @} d I N
EXPLOITATION	@ k s p l o: I t {I S @ n
EXPLOITATIVE	@ k s p l o: I t @ t I v
EXPLOITED	@ k s p l o: I t @ d
EXPLOITING	@ k s p l o: I t I N
EXPLOITIVE	@ k s p l o: I t I v
EXPLOIT	@ k s p l o: I t
EXPLOITS	@ k s p l o: I t s
EXPLORATION	@ k s p l o: r {I S n
EXPLORATION	@ k s p l @ r {I S @ n
EXPLORATION'S	@ k s p l o: r {I S n z
EXPLORATIONS	@ k s p l o: r {I S n z
EXPLORATION'S	@ k s p l @ r {I S n z
EXPLORATIONS	@ k s p l @ r {I S n z
EXPLORATORY	@ k s p l o: r @ t r i:
EXPLORAVISION	@ k s p l o: r @ v I Z @ n
EXPLORED	@ k s p l o: d
EXPLORE	@ k s p l o:
EXPLORER	@ k s p l o: r @
EXPLORERS	@ k s p l o: r @ z
EXPLORES	@ k s p l o: z
EXPLORING	@ k s p l o: r I N
